Datetime,El_price_EUR_MWh,CP
1/1/2028 0:00,28.62,0.712705
1/1/2028 1:00,28.88,0.705825
1/1/2028 2:00,29.9,0.68103
1/1/2028 3:00,30.64,0.61467
1/1/2028 4:00,38.82,0.530965
1/1/2028 5:00,42.57,0.4651205
1/1/2028 6:00,43.25,0.475895
1/1/2028 7:00,39.82,0.590575
1/1/2028 8:00,36.29,0.701335
1/1/2028 9:00,34.28,0.76846
1/1/2028 10:00,34.36,0.81726
1/1/2028 11:00,34.02,0.84749
1/1/2028 12:00,33.73,0.85189
1/1/2028 13:00,33.24,0.82646
1/1/2028 14:00,32.82,0.78903
1/1/2028 15:00,33.06,0.78438
1/1/2028 16:00,37.34,0.797675
1/1/2028 17:00,39.67,0.840985
1/1/2028 18:00,41.1,0.88134
1/1/2028 19:00,38.37,0.889485
1/1/2028 20:00,33.04,0.855615
1/1/2028 21:00,30.1,0.76677
1/1/2028 22:00,27.88,0.693
1/1/2028 23:00,27.21,0.614685
