Datetime,El_price_EUR_MWh,CP,,,,,,,,
1/1/2019 0:00,10.07,0.309332287,,,,,,,Prices: ,1/1/2019
1/1/2019 1:00,-4.08,0.28168399,,,,,,,Wind:,10/1/2019
1/1/2019 2:00,-9.91,0.244872565,,,,,,,,
1/1/2019 3:00,-7.41,0.219452038,,,,,,,,
1/1/2019 4:00,-12.55,0.19751912,,,,,,,,
1/1/2019 5:00,-17.25,0.178935885,,,,,,,,
1/1/2019 6:00,-15.07,0.152045263,,,,,,,,
1/1/2019 7:00,-4.93,0.114109493,,,,,,,,
1/1/2019 8:00,-6.33,0.082999962,,,,,,,,
1/1/2019 9:00,-4.93,0.048803254,,,,,,,,
1/1/2019 10:00,0.45,0.024505407,,,,,,,,
1/1/2019 11:00,0.12,0.017839522,,,,,,,,
1/1/2019 12:00,-0.02,0.027605531,,,,,,,,
1/1/2019 13:00,0,0.051057416,,,,,,,,
1/1/2019 14:00,-0.03,0.076892402,,,,,,,,
1/1/2019 15:00,1.97,0.106112096,,,,,,,,
1/1/2019 16:00,9.06,0.143528545,,,,,,,,
1/1/2019 17:00,0.07,0.196628545,,,,,,,,
1/1/2019 18:00,-4.97,0.262271713,,,,,,,,
1/1/2019 19:00,-6.98,0.336044947,,,,,,,,
1/1/2019 20:00,-16.01,0.406127273,,,,,,,,
1/1/2019 21:00,-4.87,0.482752038,,,,,,,,
1/1/2019 22:00,-28.93,0.54964534,,,,,,,,
1/1/2019 23:00,-33.57,0.585926727,,,,,,,,
